sisulname,sisuladdr,tel
아담스지역아동센터,서울특별시 관악구 난곡로20길 ,02-830-0374
해피엘지역아동센터,서울특별시 광진구 자양번영로 ,02-3436-6853
행복무지개공부방지역아동센터,서울특별시 마포구 성미산로10길 ,070-7504-0238
살레시오양천나눔의집,서울특별시 양천구 남부순환로54길 ,02-2605-4581
중동지역아동센터,서울특별시 성동구 서울숲6길 ,02-498-8544
성모의 집,서울특별시 은평구 가좌로12길 ,02-352-4643
동그라미지역아동센터,서울특별시 중랑구 겸재로9길 ,02-492-8728
서대문지역아동복지센터,서울특별시 서대문구 송죽길 ,02-391-3386
빛나라공부방(지역아동센터),서울특별시 용산구 한강대로104길 ,02-756-3045
흑석지역아동센터,서울특별시 동작구 현충로,02-816-8031
송천동지역아동센터,서울특별시 강북구 솔샘로 ,02-984-2237
상도푸른지역아동센터,서울특별시 동작구 양녕로28길 ,02-825-9111
무지개지역아동센터,서울특별시 도봉구 방학로3길,070-8278-2147
다락지역아동센터,서울특별시 서대문구 독립문공원길 ,02-392-3335
관악청소년 지역아동센터,서울특별시 관악구 신림동 ,02-859-6357
나래지역아동센터,서울특별시 강동구 천중로53길 ,02-474-2103
메리워드 지역아동센터,서울특별시 구로구 고척로 ,02-2618-6530
좋은친구들,서울특별시 동작구 동작대로13길,02-587-0203
좋은사람들지역아동센터,서울특별시 강서구 화곡로31길,02-2604-5550
동소문행복한 홈스쿨 지역아동센터,서울특별시 성북구 아리랑로7길 ,02-927-6377
살레시오신월3동나눔의집,서울특별시 양천구 남부순환로54길 ,02-2693-6811
서라벌아카데미지역아동센터,서울특별시 강북구 삼양로 ,02-998-5621
한살림서울생활협동조합 용산지역아동센터,서울특별시 용산구 효창원로94길 ,02-711-8111
동방영아일시보호소,서울특별시 서대문구 연희로 ,02-324-0862
새터민청소년그룹홈 <가족>,서울특별시 성북구 북악산로1다길,02-911-7817
마드레나자레나의집,서울특별시 강서구 강서로26길 ,02-2697-7792
늘사랑 지역아동센터,서울특별시 도봉구 마들로11길 ,02-951-1498
서울특별시 아동복지센터,서울특별시 강남구 광평로34길 ,02-2040-4200
동방사회복지회 서울아동상담소,서울특별시 서대문구 연희로 ,02-332-3941
우신지역아동센터,서울특별시 구로구 오리로 ,02-2611-8041
씨앗지역아동센터,서울특별시 도봉구 도봉로 ,02-954-0045
풍성한 지역아동센터,서울특별시 용산구 보광로 ,02-794-4060
나란히지역아동센터,서울특별시 노원구 상계로18길,02-938-7971
돈암동교회 모퉁이돌 지역아동센터,서울특별시 성북구 아리랑로6가길 ,070-7136-4403
길동지역아동센터,서울특별시 강동구 천호대로187길,02-485-5551
나눔플러스지역아동센터,서울특별시 도봉구 도봉로109길,02-997-5579
보물섬지역아동센터,서울특별시 은평구 갈현로15길,02-388-0145
동방지역아동센터,서울특별시 은평구 갈현로,02-382-9387
새하늘지역아동센터,서울특별시 강서구 화곡로24길,02-2608-2538
장안지역아동센터,서울특별시 동대문구 한천로 ,02-2246-3323
기쁨지역아동센터,서울특별시 송파구 송이로34길 ,02-406-7059
중랑재미지역아동센터,서울특별시 중랑구 용마공원로,02-495-5154
소망의집지역아동센터,서울특별시 은평구 역말로10길 ,070-4139-5223
좋은친구청소년지역아동센터,서울특별시 강서구 가로공원로,02-2065-0369
갈현지역아동센터,서울특별시 은평구 갈현로 ,02-358-1554
희망샘지역아동센터,서울특별시 광진구 긴고랑로,070-4138-0060
솔로몬지역아동센터,서울특별시 영등포구 양평로30가길 ,02-2678-7934
성산교회부설 한우리지역아동센터,서울특별시 관악구 낙성대역14가길 ,02-878-6091
동원지역아동센터,서울특별시 중랑구 면목로56길 ,02-433-4425
원광지역아동센터,서울특별시 동대문구 사가정로15길,070-7011-3357
이레지역아동센터,서울특별시 은평구 연서로,02-355-8680
푸르미지역아동센터,서울특별시 구로구 경서로,02-816-1515
베다니꿈나무지역아동센터,서울특별시 양천구 남부순환로65길 ,02-6403-5081
위캔지역아동센터,서울특별시 강서구 까치산로12길 ,02-2690-0157
청솔지역아동센터,서울특별시 관악구 남부순환로161가길 ,02-857-5597
오,예스 청소년지역아동센터,서울특별시 금천구 독산로64길,02-803-2340
사비오그룹홈,서울특별시 광진구 자양로44길 ,02-458-1317
아름다운구로청소년지역아동센터,서울특별시 구로구 구로동로28길,02-868-9579
멘토지역아동센터,서울특별시 금천구 독산로40길 ,02-802-0034
푸른하늘 지역아동센터,서울특별시 성북구 화랑로38길 ,070-8162-9757
영라이프그룹홈,서울특별시 은평구 연서로37가길,02-352-0361
제일강동지역아동센터,서울특별시 강동구 양재대로128길,02-470-7542
신나는지역아동센터,서울특별시 노원구 중계로14가길 ,02-934-4933
세림지역아동센터,서울특별시 금천구 금하로,02-809-0004
조원지역아동센터,서울특별시 관악구 조원중앙로2길,02-838-9031
참솔지역아동센터,서울특별시 도봉구 시루봉로,02-932-4738
행복한지역아동센터,서울특별시 은평구 연서로 ,02-386-3246
도서관 속 별난학교 지역아동센터,서울특별시 도봉구 방학로 ,070-8638-1972
살구지역아동센터,서울특별시 금천구 시흥대로148길 ,02-861-3007
아름다운 지역아동센터,서울특별시 도봉구 도봉로104길,02-904-2641
구로행복한지역아동센터,서울특별시 구로구 개봉로15길 ,02-2615-9064
하늘지역아동센터,서울특별시 금천구 문성로 ,02-837-2305
성동지역아동복지센터,서울특별시 성동구 하왕십리동,02-2292-0149
겨레얼학교지역아동센터,서울특별시 양천구 가로공원로60길,02-2602-9560
무학지역아동센터,서울특별시 성동구 왕십리로31나길 ,02-2294-0388
독립문지역아동센터,서울특별시 강북구 덕릉로40길 ,02-994-3152
꾸러기지역아동센터,서울특별시 강북구 도봉로28나길 ,070-8833-7721
행복한지역아동센터,서울특별시 관악구 법원단지13길,02-6397-8961
우리지역아동센터,서울특별시 양천구 중앙로51길 ,070-4306-6712
강일지역아동센터,서울특별시 강동구 상일로,02-6081-3300
그린리버지역아동센터,서울특별시 송파구 성내천로 ,02-421-1006
한길지역아동센터,서울특별시 강서구 공항대로65길,02-3665-8733
예사랑지역아동센터,서울특별시 동작구 장승배기로10가길,02-815-5229
아이들의 울타리 지역아동센터,서울특별시 동작구 장승배기로20길,02-814-0287
아름다운지역아동센터,서울특별시 송파구 중대로16길,02-449-4859
독산1동지역아동센터,서울특별시 금천구 벚꽃로 ,02-6677-1112
Ah'늘함께 지역아동복지센터,서울특별시 은평구 갈현로11길 ,02-359-1701
동그라미지역아동센터,서울특별시 은평구 갈현로41길 ,02-383-8883
우리지역아동센터,서울특별시 강북구 오현로31길 ,02-980-6625
아름다운지역아동센터,서울특별시 강동구 아리수로94길,02-442-0191
즐거운 지역아동센터,서울특별시 도봉구 노해로 ,070-7691-2228
푸른나무지역아동센터,서울특별시 동작구 흑석한강로,02-825-7267
흑석희망지역아동센터,서울특별시 동작구 현충로,02-816-8031
금천행복한지역아동센터,서울특별시 금천구 독산로 ,02-895-9561
청소년1318해피존나무를심는학교,서울특별시 서대문구 북아현동,070-8156-2147
나누리지역아동센터,서울특별시 동대문구 전농로17길,02-2247-7103
신광지역아동센터,서울특별시 금천구 한내로 ,070-8621-5762
에듀존도봉지역아동센터,서울특별시 도봉구 해등로 ,02-900-1159
슬기의 집,서울특별시 성북구 성북로8다길 ,02-985-4765
푸른꿈나무지역아동센터,서울특별시 은평구 불광로,02-389-0554
구립 길음동 꿈나무키우미 돌봄센터,서울특별시 성북구 서경로6길 ,02-910-7708
예수그리스도의집,서울특별시 관악구 양지5길,02-889-6124
창동드림지역아동센터,서울특별시 도봉구 우이천로4다길 ,02-997-8790
생명강지역아동센터,서울특별시 중랑구 동일로123길 ,02-438-0118
친구네 지역아동센터,서울특별시 종로구 창신동 ,02-745-0794
세종지역아동센터,서울특별시 종로구 행촌동 ,02-730-9791
사랑의지역아동센터,서울특별시 강북구 삼양로20길,02-945-8838
암사지역아동센터,서울특별시 강동구 고덕로27길 ,02-481-9711
행복한지역아동센터,서울특별시 광진구 광나루로37길 ,02-454-8891
섬기는지역아동센터,서울특별시 구로구 개봉로17아길,070-7806-1414
우애의 집,서울특별시 성북구 장위로,029824345
여의칸지역아동센터,서울특별시 서초구 서초대로,02-588-1519
구립 석관동 꿈나무키우미 돌봄센터,서울특별시 성북구 한천로79길 ,02-959-8790
새숲공부방,서울특별시 관악구 광신길,02-884-3572
푸른우리집,서울특별시 강동구 아리수로76길 ,029009860
산지역아동센터,서울특별시 강북구 삼각산로,02-905-8432
서초꿈,서울특별시 서초구 서초대로 ,025950235
구립광현청소년 지역아동센터,서울특별시 은평구 연서로27길 ,02-358-3004
새비전지역아동센터,서울특별시 송파구 거마로7길,070-8952-8028
드림홈스쿨,서울특별시 금천구 가산로,070-7798-5405
비전스쿨지역아동센터,서울특별시 은평구 가좌로7나길 ,02-307-4812
늘푸른청소년미래,서울특별시 관악구 약수암1길,02-887-1070
맑은지역아동센터,서울특별시 은평구 역촌동 ,02-6012-6988
구립예꿈터지역아동센터,서울특별시 서대문구 문화촌길,02-379-2313
동산비젼스쿨지역아동센터,서울특별시 강북구 오현로,02-945-5240
두날개지역아동센터,서울특별시 영등포구 대림동,02-824-3796
양천구보육정보센터,서울특별시 양천구 목동동로 ,0226467790
행복한우리,서울특별시 송파구 올림픽로47길,0260845526
배움터지역아동센터,서울특별시 강동구 성안로 ,02-478-6336
서울영아일시보호소,서울특별시 강남구 논현로86길 ,025521018
꿈사랑방지역아동센터,서울특별시 동대문구 전농로10길 ,02-2212-5777
오륜레인보우지역아동센터,서울특별시 강동구 강동대로53길 ,070-7864-5994
은총의집,서울특별시 성북구 솔샘로17길,029114373
CLC희망학교,서울특별시 금천구 시흥대로,02-6268-1419
새터민청소년그룹홈 <한식구>,서울특별시 성북구 북악산로1다길 ,029117817
봄채,서울특별시 송파구 동남로24길,07042446801
예원,서울특별시 강서구 강서로45길 ,0226900874
샘지역아동센터,서울특별시 은평구 연서로11길,02-6205-5237
구립상계1동지역아동센터,서울특별시 노원구 동일로,02-2116-2734
행복한지역아동센터,서울특별시 동대문구 외대역동로,02-966-5090
안젤라의 집,서울특별시 성북구 장위로32길,02)9168778
방화지역아동센터,서울특별시 강서구 양천로6길 ,02-2662-6277
한빛지역아동센터,서울특별시 성북구 동소문로34길,02-921-8411
구립상계3.4동지역아동센터,서울특별시 노원구 덕릉로,02-952-5748
구립월계지역아동센터,서울특별시 노원구 초안산로1길 ,02-997-4216
구립상계숲속지역아동센터,서울특별시 노원구 동일로227길,070-7732-7370
꿈꾸는지역아동센터,서울특별시 송파구 동남로,02-449-5863
구립공릉지역아동센터,서울특별시 노원구 섬밭로,02-975-2464
구립종암동꿈나무키우미돌봄센터,서울특별시 성북구 종암로19길 ,070-4348-2084
밀알그룹홈,서울특별시 구로구 고척로21다길 ,0226187778
해오름지역아동센터,서울특별시 송파구 백제고분로40길,02-413-7661
함께하는사랑밭독산지역아동센터,서울특별시 금천구 문성로 ,070-8781-3808
강북구 공립지역아동센터,서울특별시 강북구 도봉로96다길,02-986-0661
풍성한지역아동센터,서울특별시 은평구 은평터널로7길 ,02-358-5489
초록나무학교,서울특별시 양천구 오목로38길 ,070-7397-0312
한마음지역아동센터,서울특별시 동대문구 왕산로45길 ,02-964-0008
구립초안산숲속지역아동센터,서울특별시 노원구 덕릉로60길,02-905-3900
다사랑영등포지역아동센터,서울특별시 영등포구 신길로42길 ,070-7779-5007
구립가재울지역아동센터,서울특별시 서대문구 거북골로,02-376-1762
조이드림지역아동센터,서울특별시 영등포구 당산로38길,070-4257-9191
서울중심지역아동센터,서울특별시 강동구 천호대로162길,02-488-1067
달마학교 지역아동센터,서울특별시 성동구 성덕정길,02-462-2289
아름다운꿈지역아동센터,서울특별시 송파구 마천로,02-3402-1357
홍제주원지역아동센터,서울특별시 서대문구 홍제원6길 ,02-396-4483
부림지역아동센터,서울특별시 은평구 연서로37길 ,02-384-9661
사랑 지역아동센터,서울특별시 성북구 솔샘로,070-7206-6018
우리들의공부방,서울특별시 관악구 남부순환로 ,02-884-8093
베타니아,서울특별시 성북구 동소문로15길,02-987-3827
아름다운안암지역아동센터,서울특별시 동대문구 약령시로 ,02-921-2121
동작지역아동센터,서울특별시 동작구 국사봉길 ,02-821-5880
밝은지역아동센터,서울특별시 강서구 양천로17길,02-2665-1995
해오름지역아동센터,서울특별시 동작구 상도동 ,02-822-7171
동화나라지역아동센터,서울특별시 동작구 사당로 ,02-3473-6709
구로구공립지역아동센터,서울특별시 구로구 천왕로 ,02-2615-9060
솔바람지역아동센터,서울특별시 송파구 성내천로 ,02-401-1391
꿈터지역아동센터,서울특별시 성동구 금호산길,02-2236-8796
은혜의 집,서울특별시 성북구 북악산로 ,0222565060
영광지역아동센터,서울특별시 도봉구 노해로41가길 ,02-906-1555
예사랑청소년지역아동센터,서울특별시 동작구 장승배기로10가길,070-4848-3067
열린지역아동센터,서울특별시 중랑구 망우로67가길,02-435-2151
희망의집 지역아동센터,서울특별시 강북구 삼양로,02-981-4422
아름다운 땅 지역아동센터,서울특별시 강북구 오현로,02-986-9090
안수인 지역아동센터,서울특별시 금천구 시흥대로26길 ,02-892-4359
생각의숲 지역아동센터,서울특별시 동작구 성대로29길 ,02-3280-0922
밝은미래 아동상담소,서울특별시 중구 다산로12길 ,0222367935
서울특별시 꿈나무마을 초록꿈터,서울특별시 은평구 백련산로14길 ,02-351-2103
꽃가람,서울특별시 광진구 자양로44길 ,024559302
서울특별시 꿈나무마을 파란꿈터,서울특별시 은평구 백련산로14길,023512001
서울특별시 꿈나무마을 연두꿈터,서울특별시 은평구 백련산로14길 ,02-351-2260
젬마지역아동센터,서울특별시 동작구 흑석로 ,02-822-1424
비전교실지역아동센터,서울특별시 관악구 관악로30길 ,02-882-7204
숲과나무지역아동센터,서울특별시 강동구 올림픽로98길 ,02-481-7179
꿈터그룹홈,서울특별시 동작구 양녕로22라길 ,028352924
양지지역아동센터,서울특별시 관악구 남부순환로 ,02-877-6130
푸른솔지역아동센터,서울특별시 송파구 풍성로 ,02-6014-0075
큰미래지역아동센터,서울특별시 강서구 방화대로23길 ,02-6487-8292
구립푸르름지역아동센터,서울특별시 영등포구 영등포로64길,02-841-0818
홀트일시보호소,서울특별시 마포구 양화로1길 ,02-6938-5560
새로핌지역아동센터,서울특별시 서대문구 증가로 ,02-6015-6339
구립공릉행복지역아동센터,서울특별시 노원구 동일로179길,02-976-3824
대린원,서울특별시 노원구 동일로248길 ,02-939-2298
동천의집,서울특별시 노원구 노원로18길 ,02-974-9577
삼성농아원,서울특별시 동작구 양녕로30길,02-823-2234
다니엘복지원,서울특별시 서초구 헌릉로468길 ,02-445-4892
늘편한집,서울특별시 노원구 중계로,02-933-5228
임마누엘집,서울특별시 송파구 양산로10길,02-407-0067
임마누엘보호작업시설,서울특별시 송파구 양산로10길,02-449-6956
우성장애인요양원,서울특별시 강동구 고덕로 ,02-428-0871
신아재활원,서울특별시 송파구 양산로8길,02-400-4695
우성원,서울특별시 강동구 고덕로 ,02-428-0870
영락애니아의집,서울특별시 용산구 후암로4길 ,02-754-8507
사랑의 집,서울특별시 은평구 역말로10길,070-4652-6802
암사재활원,서울특별시 강동구 올림픽로,02-0441-0407
은평재활원,서울특별시 은평구 갈현로11길,02-385-2046
오틸리아 공동생활가정,서울특별시 강남구 학동로26길 ,0234610811
새빛바울의집,서울특별시 서초구 방배중앙로 ,02-533-9863
바르티매오공동생활가정,서울특별시 은평구 불광로9가길 ,02-722-0988
동천하우스5,서울특별시 중랑구 동일로104길 ,02-6084-5582
교남소망의집,서울특별시 강서구 까치산로22길 ,02-2602-3880
베데스다의 집,서울특별시 노원구 중계로8길 ,02-3392-0265
베데스다장애인주간보호센터,서울특별시 노원구 공릉로58마길 ,02-3391-2126
아름다운,서울특별시 중랑구 망우로55길 ,02-971-1767
신망애의 집,서울특별시 서초구 남부순환로342길 ,02-577-4186
강북구립장애인보호작업장,서울특별시 강북구 오현로 ,02-986-7733
용산구립장애인보호작업장,서울특별시 용산구 한강대로 ,02-711-7882
다니엘의 집 1호,서울특별시 서초구 염곡안길 ,02-597-9907
다니엘의 집 2호,서울특별시 서초구 염곡안길 ,025815987
다니엘주간보호센터,서울특별시 서초구 헌릉로468길 ,02-445-8062
다니엘단기보호센터,서울특별시 서초구 헌릉로468길,02-445-8062
영락원,서울특별시 은평구 연서로35길 ,02-355-9550
사랑나눔주간보호시설,서울특별시 송파구 마천로51길 ,02-400-8460
다니엘직업재활원,서울특별시 서초구 헌릉로468길 ,02-445-4577
동천,서울특별시 노원구 노원로18길 ,02-974-2950
다모인,서울특별시 노원구 노원로 ,02-972-4361
원광보호작업장,서울특별시 중랑구 신내로,02-438-2605
참좋은센터,서울특별시 중랑구 봉화산로56길,02-491-3773
신아보호작업장,서울특별시 송파구 양산로8길,02-400-1399
늘푸른나무복지관,서울특별시 강서구 허준로5길,02-3661-3164
조은세상,서울특별시 중랑구 동일로140길,02-439-9593
서울시립북부장애인종합복지관,서울특별시 노원구 덕릉로70가길,02-2092-1748
서울시남부장애인종합복지관,서울특별시 동작구 여의대방로20길,02-829-7100
금천장애인종합복지관,서울특별시 금천구 시흥대로101길 ,0269128000
볕바라기주간보호센터,서울특별시 금천구 금하로18길 ,02-866-1314
데일리스보호작업시설,서울특별시 동대문구 천호대로83길,0222170328
번동코이노니아장애인보호작업시설,서울특별시 강북구 한천로115길,02-985-3609
소망의집,서울특별시 강북구 인수봉로64길 ,02-902-8335
삼성떡프린스,서울특별시 동작구 양녕로30길 ,02-823-2230
더 홈,서울특별시 노원구 중계로,02-930-4635
쉼터요양원,서울특별시 노원구 동일로248길,02-937-5057
서울특별시립평화로운집,서울특별시 은평구 갈현로15길,02-3156-6500
주몽재활원,서울특별시 강동구 상일동,070-8255-0315
소망제이앤피,서울특별시 강남구 언주로159길 ,02-3445-8450
은평기쁨의집,서울특별시 은평구 갈현로11길 ,02-388-0050
보담터,서울특별시 노원구 중계로 ,02-935-0655
민들레울공동생활가정,서울특별시 은평구 갈현로11길 ,02-372-4398
시립서대문농아인복지관,서울특별시 서대문구 수색로4가길 ,02-3156-6699
승가원행복마을,서울특별시 성북구 개운사2길 ,02-921-6410
라온클린패밀리,서울특별시 강동구 고덕동 ,02-3427-0876
용산구립장애인주간보호센터,서울특별시 용산구 한강대로 ,02-701-4282
두레네집공동생활가정,서울특별시 관악구 법원단지길 ,02-866-6155
중랑구립직업재활센터,서울특별시 중랑구 숙선옹주로9길 ,02-977-8291
송파인성장애인종합복지관,서울특별시 송파구 마천로61길 ,02-431-8881
사랑의복지관,서울특별시 서초구 강남대로65길 ,070-7727-2520
성북장애인복지관,서울특별시 성북구 화랑로,02-915-9200
한빛맹아원,서울특별시 강북구 삼양로73가길 ,02-989-6017
하누리주간보호센터,서울특별시 금천구 시흥대로2길 ,02-802-8024
헬렌켈러의집단기거주시설,서울특별시 강북구 삼양로91가길 ,02-980-1791
헬렌켈러의집 주간보호,서울특별시 강북구 삼양로80길 ,02-980-1791
다니엘사랑이용센터,서울특별시 서초구 헌릉로468길 ,02-525-2536
다니엘의 집 3호,서울특별시 서초구 신반포로43길 ,02-525-2536
다솜장애인공동생활가정,서울특별시 서대문구 가재울로6길 ,02-303-0867
아이티장애인공동생활가정,서울특별시 서대문구 연희로41길,02-326-0862
다솜장애인주간보호센터,서울특별시 서대문구 증가로4길 ,02-372-4120
신목장애인주간보호시설,서울특별시 양천구 신목로,02-2643-7221
디딤자리,서울특별시 강북구 덕릉로12길 ,02-987-6009
너울자리,서울특별시 강동구 동남로85길 ,02-442-8666
보금자리,서울특별시 강동구 동남로85길,02-428-8665
하늘자리공동생활가정,서울특별시 강동구 동남로85길 ,02-441-3472
주바라기 해피홈,서울특별시 도봉구 도봉로169가길 ,02-3492-9135
동천하우스1,서울특별시 노원구 동일로237바길,029376212
동천하우스2,서울특별시 노원구 한글비석로24바길 ,02-933-7405
해맑음보호작업시설,서울특별시 노원구 동일로,02-949-6739
강북구수어통역센터,서울특별시 강북구 도봉로 ,02-990-0872
사랑의집 공동생활가정,서울특별시 노원구 동일로193길 ,02-973-1484
그루터기공동생활가정,서울특별시 노원구 동일로191가길 ,02-978-7722
관악구수어통역센터,서울특별시 관악구 쑥고개로 ,02-865-4466
도봉구수어통역센터,서울특별시 도봉구 마들로13길,02-900-2331
동천하우스4,서울특별시 도봉구 도봉로137길 ,02-905-9571
동천하우스3,서울특별시 도봉구 시루봉로23길,070-8840-8232
서울특별시수어통역센터지원본부,서울특별시 서대문구 충정로3가,02-323-4996
인강원,서울특별시 도봉구 평화로15번길 ,02-955-0526
가브리엘작업장,서울특별시 노원구 한글비석로24라길,02-951-9707
가브리엘주간보호센터,서울특별시 노원구 한글비석로24라길 ,02-951-9907
더해봄(종로구립장애인근로사업장),서울특별시 종로구 대학로3길 ,02-745-8708
발달장애인단기거주시설 동천휴,서울특별시 노원구 노원로18길,02-976-0563
동천발달장애인주간활동센터,서울특별시 노원구 노원로18길 ,02-976-0563
섬김주간보호센터,서울특별시 노원구 상계동,02-2092-1774
북부장애인직업재활시설,서울특별시 노원구 상계동 ,02-2092-1782
대린직업훈련원,서울특별시 노원구 동일로248길 ,02-939-0607
위드주간보호센터,서울특별시 은평구 갈현로15길,02-385-5841
시온공동생활가정,서울특별시 은평구 갈현로7길,070-4244-2046
은평공동생활가정,서울특별시 은평구 증산로19길,070-4130-2046
꽃새암,서울특별시 관악구 봉천로13길 ,02-872-2843
꽃가람,서울특별시 관악구 국회단지21길 ,02-871-2843
소망그룹홈,서울특별시 강동구 양재대로91나길 ,02-428-4548
동안제일복지센터,서울특별시 송파구 거마로,02-3401-4162
강동그룹홈,서울특별시 강동구 양재대로 ,024424548
송파그룹홈,서울특별시 송파구 토성로5길 ,02-409-4546
동안우리복지센터,서울특별시 강동구 풍성로,02-473-0558
해피죤,서울특별시 강동구 상암로 ,024295200
바오로교실주간보호시설,서울특별시 은평구 증산로5길,02-305-5180
바오로교실보호작업장,서울특별시 은평구 증산로5길,02-306-5180
열림일터,서울특별시 강서구 화곡동 ,02-2602-3199
아람마을,서울특별시 노원구 월계로,02-909-4604
은평구립직업재활센터,서울특별시 은평구 진흥로 ,02-384-1320
불광작은예수의집,서울특별시 은평구 연서로37길,02-355-0877
성북구수어통역센터,서울특별시 성북구 아리랑로4길 ,02-922-7892
아이비주간보호시설,서울특별시 강동구 천중로,02-474-3825
아이비장애인단기보호시설,서울특별시 강동구 구천면로39길 ,02-474-3823
파란마음복지센터,서울특별시 강동구 진황도로 ,02-487-4548
함께사는세상,서울특별시 관악구 국회단지길,02-876-2842
한벗둥지,서울특별시 마포구 월드컵북로12길,02-336-3100
서로함께,서울특별시 관악구 남부순환로155길 ,028520400
사랑샘단기보호소,서울특별시 노원구 중계로,02-932-4635
하은장애인주간보호시설,서울특별시 양천구 목동동로10길 ,02-2654-0564
기쁨이 싹트는 나무,서울특별시 금천구 시흥대로80길 ,02-893-9630
참좋은집 장애인공동생활가정,서울특별시 구로구 중앙로5길 ,02-2625-0118
신나는 집 장애인공동생활가정,서울특별시 구로구 고척로52라길 ,02-2688-8229
제4샬롬 장애인공동생활가정,서울특별시 중구 청구로 ,02-2253-1664
예은장애인주간보호시설,서울특별시 구로구 부일로15길 ,02-2616-4282
예은장애인공동생활가정,서울특별시 양천구 신목로2길 ,02-2646-5403
다은장애인공동생활가정,서울특별시 양천구 목동중앙서로9길 ,02-2691-1162
강동단기보호시설,서울특별시 강동구 성내로3가길 ,02-428-4548
성민장애인주간보호소,서울특별시 노원구 노원로,02-3391-4130
라온채,서울특별시 구로구 고척로12길 ,02-2619-8223
해피워크,서울특별시 성북구 오패산로 ,02-918-9190
아이티어빌리티센터,서울특별시 강동구 명일로 ,02-470-1374
기원주간보호센터,서울특별시 은평구 통일로87길,02-353-1367
한마음 주간보호센터,서울특별시 은평구 연서로17길 ,02-353-4889
하늘꿈터,서울특별시 동대문구 사가정로25길 ,02-969-3927
용산구수어통역센터,서울특별시 용산구 서빙고로 ,02-706-8367
시립영등포장애인복지관,서울특별시 영등포구 버드나루로 ,02-3667-0870
다운주간보호센터,서울특별시 노원구 화랑로 ,02-3296-2114
모랫말꿈터,서울특별시 영등포구 도영로,02-2181-6120
강동그린나래복지센터,서울특별시 강동구 고덕로 ,070-4837-4550
민들레의집,서울특별시 영등포구 도신로 ,02-846-6505
햇살터(성프란치스꼬),서울특별시 구로구 남부순환로105라길 ,02-830-6500
한마음2호 공동생활가정,서울특별시 송파구 위례성대로8길,02-353-4889
금천단기보호센터,서울특별시 금천구 시흥대로 ,02-809-9194
노원1장애인주간보호센터,서울특별시 노원구 월계로 ,02-949-0700
다사랑공동생활가정,서울특별시 강북구 노해로7길 ,02-991-9968
다향공동생활가정,서울특별시 강북구 노해로7길 ,02-993-2820
나자로의집보호작업장,서울특별시 관악구 남부순환로194길,02-887-3629
북부(종합사회복지관)장애인주간보호센터,서울특별시 노원구 동일로245길 ,02-934-7717
실로암장애인근로사업장,서울특별시 관악구 남부순환로 ,02-880-0581
중계1호,서울특별시 노원구 노원로19길 ,02-974-0185
중계2호,서울특별시 노원구 노원로19길 ,02-973-0183
상계(종합사회복지관)장애인주간보호센터,서울특별시 노원구 덕릉로115나길 ,02-951-9930
평화장애인주간활동센터,서울특별시 노원구 노원로,02-949-0122
영등포구장애인사랑나눔의집 장애인부모회주간보호소,서울특별시 영등포구 신길로 ,02-848-2902
실로암재활지원센터,서울특별시 관악구 남부순환로 ,02-880-0500
실로암학습지원센터,서울특별시 관악구 남부순환로,02-880-0500
실로암재가복지봉사센터,서울특별시 관악구 남부순환로 ,02-880-0500
임마누엘 신사공동체,서울특별시 은평구 갈현로2가길 ,02-6414-9998
임마누엘 역촌공동체,서울특별시 은평구 진흥로1길 ,02-352-9802
서울남부주간보호센터,서울특별시 동작구 여의대방로20길 ,02-829-7155
남부공동생활가정1호,서울특별시 영등포구 도신로48길 ,02-847-8173
남부공동생활가정2호,서울특별시 영등포구 영신로17길 ,02-845-4134
한빛장애인주간보호센터,서울특별시 양천구 신월로11길,02-2690-8762
관음의 집,서울특별시 금천구 독산로14길 ,02-808-7373
지장의 집,서울특별시 금천구 독산로14길 ,02-803-9050
노원시각장애인주간보호센터,서울특별시 노원구 상계로23길,02-931-0889
원광장애인주간보호시설,서울특별시 중랑구 신내로,02-438-2691
보라매주간보호센터,서울특별시 동작구 여의대방로20길,02-840-1590
서부장애인종합복지관 주간보호센터,서울특별시 은평구 갈현로11길 ,02-351-3982
정립회관 주간보호시설,서울특별시 광진구 워커힐로,02-447-1237
강서구수어통역센터,서울특별시 강서구 발산로 ,02-3665-4474
구로구수어통역센터,서울특별시 구로구 가마산로 ,02-865-1077
삼전주간보호시설,서울특별시 송파구 백제고분로32길 ,02-421-6077
브니엘의 집,서울특별시 구로구 구로중앙로21길 ,02-837-8513
이수경하우스,서울특별시 노원구 덕릉로122길 ,02-3296-2101
송파시각장애인축구장,서울특별시 송파구 올림픽로,02-2202-8144
송파구장애인운전교육원,서울특별시 송파구 삼학사로2길,02-412-2486
임마누엘시흥공동체,서울특별시 금천구 독산로50마길,02-808-3831
임마누엘독산공동체,서울특별시 금천구 시흥대로118길,02-877-3831
임마누엘신월공동체,서울특별시 양천구 오목로11길,02-2690-3830
임마누엘신정공동체,서울특별시 양천구 오목로,02-2693-3831
임마누엘개봉공동체,서울특별시 구로구 고척로16가길,02-2060-3831
임마누엘구로공동체,서울특별시 구로구 오리로22가길,02-765-3831
임마누엘화곡1공동체,서울특별시 강서구 등촌로13다길,02-2645-2913
임마누엘화곡공동체,서울특별시 강서구 강서로10길,02-2698-2068
임마누엘등촌1공동체,서울특별시 강서구 화곡로66길,02-2659-3841
기쁜우리복지관부설주간보호시설,서울특별시 강서구 허준로,02-3665-3831
